Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,8406,1212C-DP,1212C,1212C,INF209KA1BF8,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,14-02-2014 00:00:00,N,0,N,0,B1212C
B,8419,1213A-DP,1213A,1213A,INF209KA1BM4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,18-02-2014 00:00:00,N,0,N,0,B1213A
B,8418,1213B-GR,1213B,1213B,INF209KA1BL6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,18-02-2014 00:00:00,N,0,N,0,B1213B
B,8420,1213C-DP,1213C,1213C,INF209KA1BN2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,18-02-2014 00:00:00,N,0,N,0,B1213C
B,8422,1214A-DP,1214A,1214A,INF209KA1BS1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1214A
B,8421,1214B-GR,1214B,1214B,INF209KA1BR3,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1214B
B,8423,1214C-DP,1214C,1214C,INF209KA1BT9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1214C
B,8425,1215A-DP,1215A,1215A,INF209KA1BY9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1215A
B,8424,1215B-GR,1215B,1215B,INF209KA1BX1,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1215B
B,8426,1215C-DP,1215C,1215C,INF209KA1BZ6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1215C
B,8417,1216B-GR,1216B,1216B,INF209KA1BK8,EQUITY,NORMAL,1000,10,0,Z,N,N,N,N,MF,17-02-2014 00:00:00,N,0,N,0,B1216B
B,8491,1217A-DP,1217A,1217A,INF209KA1CE9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1217A
B,8490,1217B-GR,1217B,1217B,INF209KA1CD1,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1217B
B,8492,1217C-DP,1217C,1217C,INF209KA1CF6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1217C
B,8494,1218A-DP,1218A,1218A,INF209KA1CK6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1218A
